temp_c,res_kohm
30.3,8.39
11.4,16.45
13,15
13.8,14.15
15.5,13.55
16.7,12.85
17.6,12.44
17.8,12.16
18.6,11.86
19,11.65
21.1,10.96
21.7,10.86
27.3,9.05
27.5,8.87
7.4,19.9
8.6,17.85
9.5,16.9
10.6,16.2
11.9,15.5
12.7,14.9
13.9,14.6
14.3,14.3
15,13.8
15.6,13.5
16.3,13.1
17.1,12.7
18,12.4
18.4,12.1
18.5,11.8
19.5,11.6
19.8,11.4
20.3,11.3
20.2,11.2
20.9,11
22.1,10.9
22.3,10.7
22.3,10.6
23,10.4
22.7,10.3
23.2,10.2
23.7,10.1
24.5,9.9
24.9,9.65
25,9.6
25.6,9.5
25.7,9.45
26.2,9.4
26.1,9.32
26.2,9.26
26.8,9.2
26.3,9.14
26.7,9.1
27.7,8.88
28.3,8.54
28.8,8.35
29.2,8.43
29.7,8.42
31.3,7.61
31.4,7.87
31.2,7.89
30.9,7.92
30.8,7.95
11,15.7
12.7,15
14.6,14.4
16.1,13.38
16.3,12.96
17.3,12.68
17.9,12.4
18.2,12.1
19.1,11.91
19.5,11.73
20.2,11.57
21,10.99
21.4,10.87
22,10.75
22.1,10.55
22.7,10.46
23.2,10.3
23.7,10.22
23.4,10.13
23.9,10.05
24.2,9.95
24.3,9.82
24.5,9.75
25.2,9.62
25.4,9.52
25.7,9.46
25.6,9.41
26,9.36
26.3,9.32
25.8,9.27
26.2,9.23
26.5,9.18
26,9.14
26.3,9.11
26.6,8.99
26.7,8.96
26.8,8.93
27.4,8.91
27.3,8.88
27.2,8.86
28,8.82
27.8,8.79
27.9,8.76
30.7,7.99
30,8.1
30.2,8.14
30.3,8.16
